Bellman-Ford algorithm Complete Graph;Bellman-Ford algorithm Connected Graph;Bellman-Ford algorithm Sparse Graph;Complete Graph edges number;Connected Graph edges number;Floyd-Warshall algorithm Complete Graph;Floyd-Warshall algorithm Connected Graph;Floyd-Warshall algorithm Sparse Graph;Queue based dijkstra's algorithm Complete Graph;Queue based dijkstra's algorithm Connected Graph;Queue based dijkstra's algorithm Sparse Graph;Set based dijkstra's algorithm Complete Graph;Set based dijkstra's algorithm Connected Graph;Set based dijkstra's algorithm Sparse Graph;Sparse Graph edges number;Vertices number;
13772;7577;7731;45;20;42239;27750;28723;22476;12543;6963;28518;13516;8192;9;10;
2287411;1059993;93388;1770;796;4262604;4205619;3317913;269056;196096;74188;299468;256614;67840;59;60;
13939660;6349772;292096;5995;2697;25636710;25444505;20476876;774963;524697;119705;834969;605849;145664;109;110;
43079116;19457075;611942;12720;5724;78405478;78091110;60096512;1590169;1014886;198911;1650585;1079705;241151;159;160;
96418560;43545753;1055795;21945;9875;174314752;175979212;138578892;2489907;1573580;293939;2477465;1735219;330752;209;210;
180518348;82481715;1629849;33670;15151;330213939;329598771;262540134;3881574;2304819;412108;3903590;2437990;495615;259;260;
306481868;139613798;2227711;47895;21552;554795622;556534886;436833484;5295001;3356057;547174;5321113;3546009;611072;309;310;
479834368;216867123;3125504;64620;29079;872502630;873653452;685281536;6931251;4503859;696985;6941183;4581068;755712;359;360;
709727999;319511500;3873433;83845;37730;1282207539;1281541376;1026531891;8661299;5529856;867430;8958515;5581312;911001;409;410;
1000191948;451936409;4917555;105570;47506;1807788339;1813476812;1436385740;10633113;6774476;1012223;10760499;6878668;1083801;459;460;
1362149017;611819110;6053375;129795;58407;2467593420;2468734924;1923529011;12781312;8240486;1238579;12937830;8397875;1283584;509;510;
1806451148;811246080;7208755;156520;70434;3266139084;3270067302;2582006067;16024729;9755238;1427609;16274534;10212249;1542553;559;560;
2341221785;1108456806;8939366;185745;83585;4465956659;4471291647;3552575590;18805145;12408576;1673932;19097446;13079961;1774489;609;610;
3076896051;1317787596;10222233;217470;97861;5467520716;5300797695;4136557568;22235238;13795584;1894297;22768640;13913241;1979750;659;660;
3663046348;1640457625;11842969;251695;113262;6601257369;6607394611;5335222118;24444774;15564339;2115174;24442368;15829247;2271948;709;710;
4503598745;2021721548;13490073;288420;129789;8137197312;8158174105;6511883110;28430182;17603840;2401484;27971379;17812019;2746572;759;760;
5482813235;2446735206;15466496;327645;147440;9860606719;9881244416;7774059059;31560192;19670732;2657024;31569868;19801139;2829158;809;810;
6548323481;2933129984;17467494;369370;166216;11814562662;11822351923;9421205555;34905088;22085171;2896844;36036249;22300979;3160729;859;860;
7786504960;3507847680;19622809;413595;186117;14013574348;13978212300;11193399756;38904422;23907993;3257856;39117670;24101580;3450521;909;910;
9165910067;4102807654;21952665;460320;207144;16429871411;16406247577;13032859033;43155711;26086860;3646873;43323187;26823577;3754700;959;960;
10651063500;4753237503;24183449;509545;229295;19145703168;19155473152;15245337139;46838323;28214169;3917312;46834124;28840704;4106086;1009;1010;
